Waterbody;Matrix;Substance;Threshold;Status;Units;Response
8-9;Biological Effects;VDSI(Neptunea,Nucella);2;0.24;VDS-index;1
8-9;Biological Effects;VDSI(Buccinum,Nassarius) - not Littorina;0.3;0;VDS-index;1
9-9;Biological Effects;VDSI(Neptunea,Nucella);2;1.27;VDS-index;1
9-9;Biological Effects;VDSI(Buccinum,Nassarius) - not Littorina;0.3;0;VDS-index;1
37-27;Biota;Anthracene,mussel;290;3.125;µg/kg dw;1
37-27;Biota;benzo(b,k)fluoranthen, mussel;5;3.1;µg/kg ww;1
37-27;Biota;Benzo(ghi]perylene,mussel;5;0.7;µg/kg ww;1
37-27;Biota;Benzo;80;4.375;µg/kg dw;1
37-27;Biota;Benzo;5;0.8;µg/kg ww;1
37-27;Biota;Fluoranthene,mussel;30;5.3;µg/kg ww;1
37-27;Biota;Indeno;5;0.7;µg/kg ww;1
37-27;Biota;Naphtalene,mussel;340;1.3;µg/kg dw;1
37-27;Biota;Phenathrene,mussel;1700;15;µg/kg dw;1
37-27;Biota;Pyrene,mussel;100;23.75;µg/kg dw;1
37-27;Biota;TBT, mussel - not fish;12;2.88;µg/kg dw;1
37-30;Sediment;Anthracene;85;2.3;µg/kg(2.5%TOC);1
37-30;Sediment;Benzo(ghi]perylene;85;41.6;µg/kg(2.5%TOC);1
37-30;Sediment;Benzo;261;23.6;µg/kg(2.5%TOC);1
37-30;Sediment;Benzo;430;31.8;µg/kg(2.5%TOC);1
37-30;Sediment;Dibenzotiophene;190;3.6;µg/kg(2.5%TOC);1
37-30;Sediment;Fluoranthene;600;60.9;µg/kg(2.5%TOC);1
37-30;Sediment;Fluorene, sediment;19;60.9;µg/kg(2.5%TOC);1
37-30;Sediment;Indeno;240;76.2;µg/kg(2.5%TOC);1
37-30;Sediment;Naphtalene;160;14.8;µg/kg(2.5%TOC);1
37-30;Sediment;Phenathrene;240;39.9;µg/kg(2.5%TOC);1
37-30;Sediment;Pyrene;665;59.8;µg/kg(2.5%TOC);1
37-30;Sediment;CB101;3;0.188;µg/kg(2.5%TOC);1
